阿井
穐岡
秋岡
秋風
秋川
秋川
秋草
秋國
秋久保
秋草
秋口
明口
秋坂
明坂
秋貞
秋定
秋里
秋沢
秋澤
秋崎
秋里
穐澤
秋沢
秋澤
秋鹿
秋重
秋下
秋篠
秋島
秋城
秋末
秋月
秋炭
明瀬
秋園
穐田
秋田
飽田
明田
龝田
秋竹
秋谷
秋田谷
明田
穐近
秋津
秋常
明杖
秋塚
秋月
秋槻
明月
明槻
秋富
秋冨
秋友
秋冨
八月十五日
秋永
秋長
秋成
秋庭
秋根
秋濃
秋野
秋濃
秋信
秋畑
秋浜
穐原
秋原
穐葉
秋場
秋庭
秋馬
秋葉
秋林
昭林
秋久
秋廣
秋房
秋藤
秋保
秋穂
秋間
秋政
秋松
秋丸
秋水
秋道
秋光
秋満
秋峯
秋嶺
秋宗
穐村
秋村
穐元
穐本
秋元
秋本
飽本
明元
龝本
秋森
秋家
秋谷
秋安
穐山
暁山
秋山
明山
龝山
穐吉
秋（吉の士が土）
秋吉
秋好
明吉
龝吉
秋楽
晶
審
審良
明
明楽
明樂
秋和
阿岸
安久
阿久井
安久井
阿久沢
阿久澤
阿久沢
阿久澤
悪七
芥
芥田
飽田
芥川
芥屋
阿久津
安久津
堆
圷
阿久戸
肥土
飽戸
阿久戸
阿久根
悪虫
安久
阿久井
安居
安居院
安喰
日外
安居院
阿草
阿口
粟国
阿具根
莫根
安倉
安久利
阿黒
安黒
朱
明
明井
明内
明尾
明上
暁烏
明木
明坂
明定
明島
明代
明島
明隅
緋田
明田
明田川
明谷
緋田
明田
明知
明地
明智
明致
明妻
明戸
明渡
安慶名
明永
明庭
明野
明橋
明畠
明林
明日
明比
明比
明部
明穂
明星
明星
明保能
明間
明政
明松
明海
明見
明光
明峯
明村
明元
明本
明谷
朱山
明山
明吉
明楽
明樂
明里
揚
揚井
上石
揚石
揚岩
上沢
揚塩
上路
安慶田
上田
明田
揚田
安慶田
上妻
揚妻
揚戸
安慶名
揚野
上之園
上濱
揚原
上松
上見
上水
揚村
上本
阿古
阿児
吾子
赤穂
赤廣
赤穗
赤穂谷
阿古下
阿子島
阿子島
阿郷
吾郷
阿佐
浅
朝
麻
旭井
浅井
朝位
朝井
朝居
麻井
淺井
浅石
朝稲
朝鵜
麻植
朝内
浅海
浅浦
朝浦
浅江
朝栄
朝江
浅枝
朝枝
淺枝
浅黄
浅生
浅尾
浅雄
旦尾
朝生
朝尾
麻生
麻尾
浅岡
朝岡
麻岡
阿坂
安坂
安積
浅加
浅賀
浅香
朝賀
朝香
淺香
浅海
浅貝
朝海
朝貝
浅蔭
朝蔭
浅上
浅川
朝河
朝川
麻河
麻川
淺川
浅賀
朝賀
麻賀
浅貝
朝貝
朝顔
浅上
麻上
浅川
浅木
朝喜
朝樹
朝木
朝来
麻喜
麻木
浅木森
浅黄
浅木
淺木
浅桐
浅霧
淺桐
浅草
朝国
朝久野
朝来野
浅窪
朝熊
朝隈
浅倉
浅蔵
朝倉
朝倉
阿佐慶
浅古
浅子
朝子
浅越
淺越
浅越
浅越
浅坂
浅沢
浅澤
朝澤
淺澤
浅芝
浅島
浅地
淺治
浅島
浅嶋
麻島
浅妻
朝妻
浅谷
麻谷
淺谷
阿早田
浅田
朝田
麻田
淺田
浅地
浅津
朝塚
朝付
浅妻
朝妻
浅津
朝月
浅妻
朝妻
麻妻
安里
朝戸
浅富
浅冨
朝戸
浅名
朝中
麻中
浅長
麻薙
朝鍋
浅並
朝波
浅成
朝西
浅沼
浅湫
淺沼
浅埜
浅野
朝野
麻野
淺野
浅野井
麻野井
浅野間
浅海
浅野目
浅葉
浅畑
麻畑
麻畠
浅原
朝原
麻原
淺原
浅羽
浅場
浅葉
麻場
淺羽
麻畠
浅林
旭
朝火
朝日
朝比
朝飛
旭岡
旭田
朝夷
朝比奈
旭谷
朝広
朝廣
朝藤
朝生
麻生
朝吹
朝武士
阿佐部
浅部
朝部
朝穂
朝穗
浅堀
朝堀
浅間
朝間
朝馬
淺間
朝町
浅松
淺松
阿佐見
阿佐美
阿左見
阿左美
浅海
浅見
浅美
朝海
朝見
朝民
浅水
朝光
朝緑
浅村
淺村
浅面
浅本
朝元
朝本
麻元
浅森
朝森
浅谷
浅山
朝山
淺山
浅利
浅里
麻里
浅輪
浅和
浅若
阿座上
呰上
安座上
浅越
阿座間
安座間
阿佐美
阿左美
浅見
莇
薊
莇田
芦
足洗
芦内
芦生
芦尾
足尾
芦生
芦岡
足駕
芦界
足利
葦苅
芦刈
芦川
蘆川
阿志賀
芦垣
足垣
芦ヶ谷
足木
芦北
芦久保
芦口
芦崎
芦硲
芦崎
葦沢
葦澤
芦沢
芦澤
足沢
蘆沢
蘆澤
芦住
芦田
芦高
足高
芦田川
芦立
葦谷
芦谷
足谷
蘆谷
葦田
芦田
足田
蘆田
芦立
蘆立
葦津
葦津
芦津
芦塚
安次富
葦名
芦名
芦中
芦名澤
芦沼
葦埜
芦野
悪原
芦原
足原
蘆原
芦葉
足羽
芦林
芦原
芦部
芦部
芦辺
蘆邉
芦間
安次嶺
芦村
蘆村
芦本
芦森
足森
芦谷
芦山
足羽
芦分
芦原
阿字
安治
味岡
味香
味方
阿路川
安治川
庵治川
阿式
安喰
安食
味木
味口
鯵坂
鰺坂
味沢
味澤
味志
味田
味谷
阿字地
阿慈知
阿慈地
味地
安室
味戸
安次富
安次冨
阿品
阿島
安島
安嶋
安心院
安次嶺
安心院
味村
味本
阿舎利
味山
安代
足代
網代
安宿
飛鳥
飛鳥井
飛鳥田
飛鳥方
飛鳥間
足助
飛鳥間
飛鳥馬
遊馬
阿隅
明日山
阿諏訪
安随
小豆
小豆沢
小豆澤
小豆沢
小豆澤
小豆野
東瀬
小豆畑
阿妻
阿萬
我妻
吾妻
四阿
東
東妻
東井
東石
東内
東川
東垣外
東田
東根
東野
東見
東屋
東谷
阿住
阿澄
阿曇
安海
安住
安積
阿瀬
阿世知
阿瀬知
阿瀬見
畦
畦浦
畔川
畔上
畦倉
畔越
畔崎
畦田
畝田
畔田
畔高
阿世知
畦地
畔地
疇地
畔津
畦原
畔原
畦町
畦元
畦本
畝本
畦柳
畔柳
阿曾
阿曽
阿蘇
阿蘓
安曽
安蘇
安蘓
麻生
阿宗
阿相
浅生
朝生
麻生
淺生
麻生川
阿蘇谷
阿曽田
安曽田
遊田
阿曽沼
遊部
安蘇谷
阿孫
阿多
安宅川
与
與
阿高
安高
安宅
安宅山
阿田川
安宅
能木
阿宅
阿多口
阿竹
阿武
安宅
愛宕
足立
熱海
新
新
新子
新屋
阿多利
中
当
當
阿田川
阿達
芦達
芦立
安達
安立
安逹
足達
足立
明立
足立原
安谷屋
東奥
阿知波
阿知葉
阿知葉
阿茶
阿知羅
阿知良
阿知波
阿知和
安食
鰺坂
且来
遖
阿津
厚
厚井
厚海
厚浦
阿津川
厚川
厚ケ瀬
厚ヶ瀬
安月
厚木
厚木
敦澤
厚沢
厚澤
厚
篤
厚芝
阿辻
阿閉
厚地
厚田
敦田
熱田
圧地
厚地
厚地
安津畑
渥見
渥美
安海
厚海
厚見
厚美
厚味
敦見
熱海
厚村
厚目
厚母
厚谷
厚綿
阿津
小豆澤
吾田
阿津地
安土
足土
阿妻
安妻
我妻
吾妻
四阿
東
東生
東都
安海
安積
阿天坊
阿出川
阿出川
阿戸
後出
阿藤
阿刀田
後上
後神
跡上
後口
阿閉
跡治
跡地
阿刀田
後野
後原
跡部
跡辺
跡邊
跡見
後山
後路
阿戸
網頭
穴井
穴生
穴太
穴織
穴風
穴竈
穴川
穴久保
穴倉
穴蔵
穴口
穴蔵
穴沢
穴澤
穴繁
穴瀬
英
穴谷
穴田
穴地
穴鳥
穴原
穴原
穴吹
穴穂
穴穗
阿南
穴見
穴水
穴光
穴本
穴山
阿南
穴南
兄井
安仁屋
喜友名
姉川
姉川
姉崎
姉崎
姉帯
姉歯
阿野
吾野
阿納
安野谷
安濃田
阿波根
阿原
阿波連
阿波
阿波嵜
阿彦
安彦
網引
阿比倉
阿彦
安孫子
安彦
我孫子
吾孫子
阿比野
阿比留
阿蒜
畔蒜
安富祖
安冨祖
阿武
安封
虻江
虻川
阿吹
阿武木
安福
鐙塚
阿武野
阿踏
鎧
鐙
鐙屋
鐙谷
油
油井
油石
油川
油木
油座
油田
油谷
油田
油野
油本
油屋
油家
油谷
阿武
阿部
阿閉
阿辺
安倍
安部
安辺
安部井
阿部川
安部川
（木へんに青）木
阿部倉
安部倉
阿部田
安部田
（木へんに青）松
（木へんに青の月が円）松
棈松
阿辺山
安部山
阿保
安保
英保
阿保
安保
網干
阿保谷
阿保
阿万
阿萬
安満
天井
雨池
天池
天井澤
天石
天岩
天羽
天雨
雨内
天江
天尾
天王野
天岡
天岳
尼岡
雨海
甘粕
天春
天粕
天方
雨川
天河
天川
尼川
天川谷
天賀
雨海
雨貝
雨甲斐
雨谷
天下井
天海
天貝
天谷
天笠
尼崎
甘粕
天春
天ヶ瀬
天形
天方
天賀谷
天川
雨木
甘木
天城
天木
尼木
味木
天城
天木
天岸
甘草
甘艸
天草
天國
天倉
天児
尼子
雨越
雨郡
甘佐
天坂
甘崎
天崎
尼崎
甘崎
天崎
天沢
天下
天（瀬の頁が刀の下に貝）
天瀬
阿万田
阿萬田
天田
尼田
甘竹
天竹
天達
天辰
天谷
尼谷
甘田
天田
尼田
天達
雨知
天知
天地
尼丁
天津
天都
天津川
天辻
天土
天筒
天堤
雨堤
雨堤
天富
天冨
尼留
天内
甘中
雨沼
天沼
天根
雨野
甘濃
天野
尼野
天生目
天宅
天羽
天畠
天早
天弘
天藤
天辺
余部
天堀
天見
雨水
甘水
天光
天満
雨宮
天宮
天都
天村
天目石
天本
雨森
雨谷
雨夜
雨矢
甘谷
天宅
天谷
天矢
天保
甘利
天利
天鷲
阿万
阿萬
阿見
阿美
阿彌
安見
網
網井
網家
網江
網岡
網川
網木
網倉
網蔵
網（崎の大が立）
網崎
綱島
網島
網嶋
網城
網代
網治
網島
網田
真鍋
網谷
編田
網塚
網塚
網戸
網中
網仲
網永
阿比野
網野
網浜
網藤
網干
網村
網元
網本
網守
阿宮
阿見弥
網屋
網谷
網矢
（餉の向が台）
飴
飴井
飴川
雨川
天久
雨倉
雨坂
雨沢
雨澤
雨島
雨嶋
雨田
飴谷
雨谷
雨田
雨辻
雨堤
雨堤
飴野
雨之宮
雨森
雨間
雨松
雨宮
飴村
雨森
飴家
飴谷
飴矢
飴山
雨山
天羽
阿茂瀬
阿守
阿野
綾
漢
綾井
綾織
綾城
綾木
漢城
綾小路
綾坂
綾城
安屋敷
綾瀬
綾田
綾田
綾戸
綾塔
綾戸
綾仁
綾野
綾部
阿山
綾村
綾女
綾目
菖蒲
綾本
綾森
鮎貝
鮎川
行川
鮎貝
鮎ヶ瀬
鮎沢
鮎澤
鮎沢
鮎澤
鮎瀬
鮎田
阿由葉
阿由葉
阿羅
阿良
荒
新
新良
荒明
荒井
荒居
新井
新居
洗
洗井
荒家
新家
洗川
荒池
荒石
荒泉
新井田
洗平
新井場
新井谷
荒内
荒海
荒栄
荒江
新江
荒枝
荒生
荒尾
安良岡
荒岡
新垣
荒角
新門
荒金
荒河
荒川
新川
洗川
荒賀
荒貝
新垣
荒金
鑛
荒神
阿良木
安良城
荒記
荒城
荒木
新城
新木
荒木田
蘭
荒岸
荒久田
荒熊
荒倉
新倉
嵐倉
荒口
荒毛
荒古
荒子
荒駒
荒薦
荒（崎の大が立）
荒崎
新崎
荒沢
荒澤
嵐
荒鹿
嵐川
新鋪
新下
嵐田
嵐谷
荒島
嵐山
安良城
荒城
新城
荒砂
荒瀬
荒勢
荒関
荒関
荒銭
安良田
荒田
新
新タ
新多
新田
荒田川
荒瀧
荒竹
荒武
荒嶽
新
荒舘
顕谷
荒谷
（余の下に田）野
新玉
新田目
新目
荒舘
荒地
荒津
荒戸
荒砥
荒当
荒殿
荒殿
荒内
荒永
荒浪
荒濤
荒西
荒納
荒野
新野
荒能
荒橋
荒幡
荒畑
荒畠
新幡
荒浜
荒原
荒張
新治
荒幡
荒場
荒樋
荒平
荒引
荒深
荒船
荒舩
新舟
新船
荒堀
荒堀
荒間
荒巻
荒蒔
荒牧
新巻
新牧
新槙
新正
荒益
荒俣
荒又
荒町
荒松
荒見
荒美
新見
荒水
新宮
荒目
新目
荒元
荒本
新本
荒籾
新籾
荒森
顕谷
荒屋
荒谷
荒矢
新屋
新家
新谷
荒屋敷
新屋敷
荒谷地
荒山
新山
新夕
蘭
檪
荒若
有
有明
蟻井
有井
有居
有家
有泉
有磯
有上
有牛
有内
有采
有海
有浦
有恵
有江
有尾
有岡
有可
有家
有海
有方
有門
有壁
蟻川
有川
有我
有賀
有貝
有金
有上
有ヶ谷
在木
有木
有清
有国
有國
有倉
有家
有光
有佐
蟻坂
有坂
有阪
東崎原
有迫
有定
在里
有里
在澤
有沢
有澤
有座
有重
蟻芝
有島
有嶋
有城
有路
有栖
蟻末
有末
有菅
有隅
有住
有住
有瀬
有生
有生
有園
有薗
蟻田
在田
有田
有（はしご高）
有高
有滝
有瀧
有竹
有谷
有地
有近
有地
有津
在塚
有次
有附
有坪
蟻（土へんに冢）
蟻塚
在塚
有塚
有藤
有時
有得
蟻通
有年
有利
有富
有冨
有留
有友
有富
有冨
有留
有中
在永
有永
有長
有南
有波
有西
有埜
有野
有ノ木
有延
有信
東浜
在原
有原
有場
有平
有広
有廣
有福
在藤
有藤
有邊
有堀
蟻馬
有馬
有麻
有政
有松
有海
有水
有道
有光
有満
有宗
有村
有銘
有持
在本
有元
有本
有森
有谷
有安
有屋田
有屋田
有山
蟻義
有吉
有輪
有若
有賀
有賀
有路
阿良
荒生
阿波
粟
安房
安和
淡
粟井
淡井
淡居
粟飯原
粟飯原
粟生
阿波加
阿波角
淡川
阿波賀
粟賀
粟木
粟国
粟倉
粟蔵
淡口
阿波根
淡佐
粟崎
粟沢
粟澤
阿波嶋
粟嶋
淡島
淡嶋
阿波治
淡路
淡路屋
粟津
阿波田
粟田
安房田
淡田
粟田口
粟竹
粟谷
淡谷
粟地
粟津
粟辻
粟津原
粟津
粟津原
粟戸
粟根
粱根
阿波野
粟野
淡野
粟野原
粟原
泡渕
阿波村
粟村
粟本
粟森
阿波屋
阿波谷
粟屋
粟家
淡谷
粟山
阿原
湶
安
安栄
安海
安久
安居
安慶
安渓
安溪
安細
安済
安斎
安細
安在
安西
安斉
安濟
安齋
安齊
案西
安（崎の大が立）
安崎
庵逧
安沢
安澤
庵下
安喰
安食
安重
安生
安西
安曽
安荘
安蔵
安藏
按田
案田
安代
安達
安立
安地
庵地
安杖
安土
安（徳の心の上に一）
安徳
庵床
安堵
安渡
安土
庵戸
安東
安藤
安堂
安道
安堵城
安中
安仲
安念
阿武
安濃
安野
案野
安濃
安納
案納
案浦
菴木
安倍
塩梅
安橋
安昼
安蒜
安晝
安佛
安福
安倍
安部
安平次
安保
安保
安間
庵前
安味
安梅
安茂
安養
安用寺
安養寺
安楽
安樂
安立
安陵
安類
井
李
井合
居合
居相
伊井
井
井伊
猪井
飯
飯井
飯泉
飯尾
飯岡
飯貝
飯河
飯川
飯貝
飯垣
飯ヶ浜
飯上
飯ヶ谷
井城
飯国
飯國
飯久保
飯窪
飯隈
飯倉
飯草
飯口
飯国
飯國
飯郷
飯坂
飯阪
飯作
飯迫
飯坂
飯迫
笹
飯笹
飯里
伊井澤
飯沢
飯澤
井石
居石
飯石
飯柴
伊井島
飯地
飯島
飯嶋
飯嶌
飯（土へんに冢）
飯塚
飯住
飯泉
井板
飯田
飯高
飯竹
飯谷
伊井田
飯田
良田
飯高
飯塚
飯塚
飯出
飯藤
飯富
飯冨
飯豊
飯冨
飯名
飯永
飯西
飯沼
伊井野
飯野
飯生
飯畑
飯浜
飯濱
飯原
飯場
飯渕
飯部
飯干
飯星
飯干
飯星
飯間
飯海
飯味
飯村
飯牟礼
飯牟禮
飯室
飯面
飯本
飯守
飯森
飯盛
井伊谷
飯山
飯（吉の士が土）
飯吉
井入
飯利
井植
伊内
井内
居内
井梅
井浦
伊江
伊得
井江
家
家井
家入
家宇治
家氏
家亀
家垣
家喜
家城
家木
家串
家雲
家倉
家口
家熊
家子
家郷
家坂
家崎
家迫
家郷
家里
家崎
家重
家下
家島
家嶋
家治
家島
家高
家谷
家田
家近
家塚
家次
家接
家常
家（土へんに冢）
家塚
家富
家所
家中
家永
家長
家西
家野
家原
家久
家平
家藤
家政
家亦
家光
家宮
家村
家元
家本
家森
家山
家吉
家脇
伊尾
井生
井尾
猪尾
井生
五十井
五百井
藺生
井生
五百尾
伊大知
井岡
猪岡
五百川
五百川
井沖
井置
五百城
五百木
五百旗頭
五十旗頭
五百旗頭
五百籏頭
五百扇
井奥
猪奥
五百蔵
庵崎
五百崎
五百沢
五百澤
五百路
五十棲
五百住
五百田
五百竹
庵谷
伊大知
射落
庵原
菴原
五百森
菴谷
庵
伊織
伊折
井折
庵崎
庵杉
庵谷
庵谷
五百蔵
五百藏
伊加
伊香
烏賊
伊加井
伊介
伊海
伊飼
井海
井開
井階
井貝
五十井
猪飼
伊香賀
五十川
猪鹿倉
伊掛
鋳山
五十子
伊ヶ崎
伊ヶ崎
伊賀崎
五十崎
五十嶋
雷
伊加田
井加田
五十田
筏
筏井
筏津
井勝
井門
居家野
五十畑
伊神
井上
井神
居上
居神
井亀
五十嵐
伊狩
井狩
五十里
錠
猪刈
猪狩
碇
碇石
碇川
碇武
碇野
碇元
碇本
碇屋
碇谷
碇山
鵤
鵤木
伊香輪
伊川
井河
井川
亥川
猪川
伊加
伊賀
伊賀井
井貝
井街
亥飼
伊賀上
伊垣
井垣
居垣
伊鹿倉
猪鹿倉
伊ケ崎
伊ヶ崎
伊賀崎
伊賀敷
五十島
井頭
伊賀瀬
伊形
井潟
井形
井方
飯ヶ谷
五十子
伊賀並
伊賀野
井釜
伊賀美
伊神
位上
井神
居神
猪上
猪谷
五十嵐
猪狩
伊川
井川
居川
井川原
伊木
位寄
井城
壱岐
居木
生亀
息
壹岐
壹岐尾
生貝
生神
生亀
生越
生越
生島
生嶋
伊規須
息栖
生田
生谷
生地
生津
生月
生中
生永
生長
生抜
生原
伊喜見
生水
生宗
生村
生森
生山
為久
伊木
井木
猪木
井岸
伊岐須
伊規須
異儀田
五十君
猪切
幾井
生井
生稲
生稲
生浦
生尾
幾岡
幾川
生川
生川
生木
戦
生坂
生沢
生澤
生沢
生澤
生芝
郁島
幾島
幾嶋
生島
生嶋
生城
生地
幾世
生瀬
井久田
育田
幾田
生田
幾谷
生谷
生玉
生田目
生地
生地
生藤
生友
幾留
生永
幾波
生南
生成
生西
育野
幾野
生野
生橋
幾原
生原
猪首
生部
井久保
井窪
猪久保
伊熊
井熊
生間
生熊
生馬
井汲
幾見
育村
生雲
生本
生守
生盛
生山
幾代
以倉
伊倉
井倉
居倉
伊久留
王生
壬生
井黒
伊草
井草
蘭草
藺草
伊串
違口
井口
生口
猪口
伊熊
猪熊
伊組
井汲
井組
居組
伊倉
井倉
居藏
井栗
伊黒
井黒
井畔
池
伊計
池井
池井戸
池上
池内
池浦
池江
池尾
池應
池岡
池奥
池川
生貝
池貝
生垣
池垣
池肩
池方
井家上
池上
池神
池亀
池ケ谷
池ヶ谷
池谷
池川
池側
池北
池木
池際
池口
池坂
池迫
池澤
池座
池（崎の大が立）
池崎
池嵜
生沢
生澤
池沢
池澤
池下
池島
池嶋
池嶌
池照
池庄司
池城
池治
池地
池島
池嶋
池条
池尻
池須
池末
池角
生悦住
池隅
池住
池添
池園
池高
池滝
池ヶ谷
池谷
井ケ田
井ヶ田
活田
池田
溏田
池知
池津
池津
池照
池戸
池富
池戸
池土
池堂
池中
池永
池長
池浪
池成
池西
池庭
池生
池埜
池野
池ノ上
池上
池之上
池野上
池ノ内
池之内
池之迫
池野田
池ノ都
池信
池邊
池坊
池ノ本
池ノ谷
池谷
池之谷
池野谷
池之山
池乗
池橋
池端
池畑
池畠
池原
池羽
池場
池端
池幡
池畑
池畠
池林
池平
池広
池袋
生藤
池藤
池渕
池袋
池淵
池渕
生部
池部
池辺
池邊
池邉
池間
池増
池町
生松
池松
池末
池見
池水
池光
池三津
池満
池宮
池宮城
池村
池邑
池邨
池牟禮
池目
池元
池本
池守
池森
池谷
池山
蘇
池呂
池脇
位下
伊芸
伊藝
井ヶ田
井下田
井桁
井毛田
垳田
伊香
井越
井腰
射越
猪越
伊古田
井小萩
井駒
居駒
生駒
生馬
田林
伊古美
伊故海
以後
井後
井合
居郷
猪郷
伊五澤
井越
猪越
伊吾田
伊垢離
伊佐
伊砂
井佐
以西
井齋
伊佐岡
砂岡
伊坂
伊阪
井坂
井阪
猪坂
猪阪
飯盛
飯盛
伊佐川
伊差川
去来川
砂川
伊崎
井崎
猪崎
井鷺
井迫
居迫
沙
砂金
砂子沢
砂子澤
砂子田
井指
伊佐敷
伊佐次
伊佐治
伊佐地
伊左次
伊左治
伊佐芹
伊佐田
伊佐地
伊佐地
伊佐津
為郷
為里
伊佐野
砂野
砂盃
飯酒盃
伊佐早
諫早
井佐原
井佐間
伊佐見
五老海
勇
勇美
諫見
勇山
勇
勇村
伊佐山
諌山
諫山
小井
漁
漁田
伊沢
伊澤
井沢
井澤
石禾
伊在井
居在家
井竿
伊（崎の大が立）
伊崎
伊嵜
井（崎の大が立）
井崎
猪崎
伊桜
伊櫻
井篠
猪里
伊座並
伊在丸
伊沢
伊澤
井沢
井澤
射和
猪澤
伊師
石
石合
石新
石伊
石井
石居
石射
石井田
石井出
石井山
石岩
石打
石内
石海
石浦
石栄
石榮
石尾
石王
石王丸
石岡
石躍
石踊
石王丸
石下
石掛
石梶
石角
石金
石兼
石上
石神
石亀
石河
石川
石賀
石貝
石外
石谷
石崖
石垣
石掛
石頭
石金
石兼
階上
石上
石神
石亀
石ケ森
石ヶ谷
伊敷
一色
居敷
石木
石木田
石城戸
石切所
石切山
石國
石久保
石窪
石熊
石隈
石倉
石蔵
石藏
石栗
石榑
石黒
石口
石隈
石雲
石栗
石榑
石黒
石畔
石桁
石下
石毛
石河
石古
石子
石生
石河
石向
石社
石吾
石郷
石郷岡
石流
石氷
石坂
石阪
石（崎の大が立）
石崎
石定
石座
石坂
石阪
石（崎の大が立）
石崎
石迫
石指
石里
石沢
石澤
石志
石下
石地
石塩
石島
石嶋
石嶌
石杉
石須
石津
石通
石末
礎
石塚
石築
石突
石附
石角
石住
石積
石炭
石墨
石瀬
石迫
石瀬
石関
石曽根
石添
石曽根
位下
居下
石多
石田
石高
石瀧
石立
稲子谷
石谷
石手洗
石田
石代
石平
石田尾
石高
石田坂
石館
石舘
石立
石田原
石地
石津
石塚
石坪
石壷
石津
石（土へんに冢）
石司
石束
石塚
（折の下に心）
（墫の土が金）
石月
石突
石附
石鎚
石綱
石積
石津谷
石手洗
石出
石寺
石戸
石徳
石床
石飛
石富
石留
石戸谷
石鳥
石戸
石動
石堂
石動丸
石床
石徹白
石留
石戸谷
石土谷
石名
石中
石永
石長
石長川
石椛
石名坂
石灘
石名田
石鍋
石並
石西
石庭
石貫
石根
石之野
石埜
石野
石野田
石之野
石幡
石畑
石畠
石花
石浜
石濱
石原
石原坂
石原島
石原田
石場
石庭
石破
石馬
石葉
石灰
石羽沢
石羽澤
石橋
石槁
石走
石鉢
石羽根
石馬場
石引
石櫃
石福
石舟
石船
石伏
石淵
石渕
石文
石風呂
石部
伊島
伊嶌
井島
石間
石前
石巻
石政
石正
石増根
石松
石間伏
石丸
石見
石水
石光
石満
伊志峰
伊志嶺
石峰
石峯
石嶺
福仲
石宮
石村
石邑
石邨
石牟礼
石牟禮
石室
石室屋
石母田
石持
石元
石本
石守
石森
石盛
